number,timestamp,value
1,1613729784,193871
2,1613731081,192891
3,1613737906,193885
4,1613739644,192909
5,1613740349,191854
6,1613741544,192909
7,1613744198,191788
8,1613748552,192800
9,1613748938,193826
10,1613750336,192804
11,1613750576,193888
12,1613750937,194908
13,1613752999,195895
14,1613753566,194869
15,1613754822,195918
16,1613756359,196900
17,1613758454,195913
18,1613760226,196905
19,1613762538,195900
20,1613764070,194792
21,1613765173,195841
22,1613766395,194773
23,1613767194,195776
24,1613777986,195786
25,1613779947,194752
26,1613780100,193166
27,1613781027,194197
28,1613785092,195213
29,1613788729,196198
30,1613789193,197194
31,1613789881,198266
32,1613790551,199300
33,1613791855,198252
34,1613792126,199268
35,1613793317,200306
36,1613793501,201693
37,1613793908,202885
38,1613794049,204000
39,1613794268,202943
40,1613796726,201610
41,1613797279,202627
42,1613799281,201599
43,1613799765,200089
44,1613800298,201154
45,1613801551,202167
46,1613803056,203216
47,1613804744,202176
48,1613805041,201101
49,1613807001,200020
50,1613807950,198682
51,1613808198,199701
52,1613809027,200842
53,1613811014,199640
54,1613812676,200681
55,1613816205,199649
56,1613818033,200685
57,1613822334,199652
58,1613822695,200691
59,1613822933,201738
60,1613823630,202778
61,1613831109,201724
62,1613832649,200446
63,1613832973,199289
64,1613833078,198220
65,1613833132,199491
66,1613833833,200599
67,1613834167,199500
68,1613834320,198400
69,1613834661,197265
70,1613835273,198356
71,1613835781,197049
72,1613836473,198143
73,1613837662,199229
74,1613839236,200282
75,1613841282,201488
76,1613842199,200416
77,1613843673,199368
78,1613848659,198307
79,1613851701,197141
80,1613852968,198257
81,1613853443,199357
82,1613853808,198203
83,1613855424,197150
84,1613855489,196982
85,1613856008,195825
86,1613856829,196812
87,1613857847,197812
88,1613858352,196782
89,1613858426,195568
90,1613858600,194364
91,1613858691,195425
92,1613859355,194343
93,1613859533,193346
94,1613859717,194370
95,1613859736,193045
96,1613859921,194101
97,1613860205,193056
98,1613860392,192054
99,1613860655,191055
100,1613860691,190000
101,1613860753,189000
102,1613860868,187155
103,1613860883,185190
104,1613860942,183447
105,1613860965,182005
106,1613860985,180391
107,1613861024,182423
108,1613861038,184449
109,1613861038,182487
110,1613861041,184564
111,1613861208,185779
112,1613861208,187123
113,1613861316,188233
114,1613861581,189411
115,1613861712,190504
116,1613861894,189355
117,1613862118,190407
118,1613862257,191445
119,1613862850,192430
120,1613863001,191114
121,1613863462,192394
122,1613863767,191244
123,1613864063,189700
124,1613864730,190845
125,1613865023,191890
126,1613865679,190522
127,1613865829,189453
128,1613865972,188323
129,1613866074,189850
130,1613867052,190935
131,1613867543,191895
132,1613869694,192943
133,1613870633,191936
134,1613872084,193000
135,1613872974,194026
136,1613873859,194999
137,1613874958,193973
138,1613876962,194985
139,1613877877,193987
140,1613878691,193013
141,1613882184,194049
142,1613884579,195094
143,1613884860,194039
144,1613886510,195069
145,1613888081,193979
146,1613889779,192974
147,1613890759,194000
148,1613891833,193010
149,1613892363,191569
150,1613894563,190208
151,1613894654,191344
152,1613894855,192399
153,1613895083,193397
154,1613895308,194418
155,1613895428,193170
156,1613897357,194166
157,1613900472,193115
158,1613901481,194093
159,1613902145,195143
160,1613902883,196253
161,1613904904,197301
162,1613905813,196100
163,1613906301,197082
164,1613908082,196082
165,1613911413,195080
166,1613911775,194096
167,1613913345,195100
168,1613917003,193928
169,1613917396,194944
170,1613918148,196000
171,1613921341,195003
172,1613922442,195996
173,1613923724,194879
174,1613924788,196007
175,1613925731,194884
176,1613926151,195862
177,1613930623,194845
178,1613933284,195906
179,1613934035,196934
180,1613938139,195699
181,1613939960,194694
182,1613940632,193605
183,1613940800,192569
184,1613943036,191515
185,1613943137,192539
186,1613943977,193562
187,1613944317,192372
188,1613944876,191251
189,1613944950,192275
190,1613946615,191285
191,1613947017,190300
192,1613947320,191493
193,1613948094,192495
194,1613951116,193476
195,1613952304,192507
196,1613952842,191373
197,1613955072,190407
198,1613955280,189311
199,1613955690,188156
200,1613955723,187128
201,1613955803,188676
202,1613955910,189644
203,1613956155,190657
204,1613956377,189679
205,1613956576,190648
206,1613957729,191739
207,1613959336,190753
208,1613960109,189792
209,1613960747,190801
210,1613961282,191788
211,1613961913,190828
212,1613963738,189770
213,1613964455,188806
214,1613964760,187434
215,1613965212,188408
216,1613965723,187233
217,1613966019,186208
218,1613966151,187231
219,1613966418,186198
220,1613966646,185192
221,1613966785,186316
222,1613966992,187384
223,1613967745,186418
224,1613968267,185277
225,1613968913,184338
226,1613969330,185364
227,1613969924,186383
228,1613970250,187319
229,1613971095,186220
230,1613971379,187280
231,1613972069,188297
232,1613972433,187321
233,1613973294,186312
234,1613973969,187252
235,1613974254,188192
236,1613977112,187239
237,1613978667,188241
238,1613983241,187084
239,1613984108,186101
240,1613986611,185085
241,1613987359,184101
242,1613987678,183001
243,1613987678,182051
244,1613987759,183006
245,1613987863,182065
246,1613988149,183188
247,1613988240,181990
248,1613988456,181080
249,1613988563,180098
250,1613988678,179000
251,1613988702,178045
252,1613988765,179743
253,1613989011,180868
254,1613989457,181794
255,1613989995,182772
256,1613991213,181679
257,1613991916,182709
258,1613992749,181742
259,1613993117,180821
260,1613993297,181810
261,1613993558,182801
262,1613994185,181828
263,1613994883,180869
264,1613995356,179953
265,1613995468,179001
266,1613995639,177936
267,1613995779,178999
268,1613996001,177693
269,1613996184,176472
270,1613996491,175397
271,1613996591,176572
272,1613996651,177684
273,1613997039,178809
274,1613997264,177580
275,1613997445,178492
276,1613998053,177116
277,1613998571,178039
278,1613999172,178942
279,1613999715,177985
280,1613999887,176949
281,1614000734,175910
282,1614001049,176842
283,1614001860,175790
284,1614002143,174893
285,1614002250,173686
286,1614002332,173999
287,1614002380,172960
288,1614002438,173927
289,1614002528,172884
290,1614002871,171397
291,1614002980,170002
292,1614003104,168854
293,1614003147,170633
294,1614003185,169646
295,1614003190,168430
296,1614003249,165869
297,1614003310,164964
298,1614003384,166990
299,1614003394,166057
300,1614003448,159500
301,1614003475,157018
302,1614003497,159165
303,1614003763,160242
304,1614003765,161123
305,1614003866,163053
306,1614003890,165185
307,1614003921,166230
308,1614004018,165200
309,1614004021,163779
310,1614004056,166244
311,1614004077,167272
312,1614004133,168261
313,1614004232,167001
314,1614004278,168144
315,1614004371,169266
316,1614004453,170677
317,1614004744,169436
318,1614004839,168434
319,1614004910,169467
320,1614004910,170601
321,1614005000,171648
322,1614005061,172895
323,1614005194,173871
324,1614005229,174879
325,1614005303,173913
326,1614005541,173016
327,1614005667,174141
328,1614005760,175146
329,1614005827,176113
330,1614005898,175151
331,1614006051,176411
332,1614006222,177464
333,1614006330,176531
334,1614006330,175312
335,1614006460,174402
336,1614006516,173310
337,1614006537,174624
338,1614006628,175508
339,1614006754,173988
340,1614006865,172848
341,1614006948,171411
342,1614006969,172282
343,1614006981,171145
344,1614007101,170209
345,1614007150,171118
346,1614007207,172216
347,1614007296,170581
348,1614007433,171958
349,1614007501,172900
350,1614007531,171994
351,1614007632,171067
352,1614007977,172078
353,1614008172,171192
354,1614008342,172317
355,1614008665,173450
356,1614008739,174524
357,1614009062,173494
358,1614009710,171208
359,1614009710,172283
360,1614009904,171049
361,1614009964,172516
362,1614010250,173704
363,1614010372,174717
364,1614010651,175729
365,1614011214,174743
366,1614011558,175705
367,1614012016,174722
368,1614012781,173844
369,1614012878,172659
370,1614013364,171793
371,1614013473,172665
372,1614013748,171734
373,1614014072,170871
374,1614014142,171727
375,1614014285,172613
376,1614014437,171718
377,1614014711,172619
378,1614015138,171641
379,1614015329,170731
380,1614015930,169470
381,1614016028,168504
382,1614016103,169415
383,1614016571,168209
384,1614017024,167128
385,1614017195,166234
386,1614017285,167138
387,1614017416,168108
388,1614017552,167239
389,1614017731,168108
390,1614017768,169045
391,1614017987,170196
392,1614018092,169100
393,1614018252,169953
394,1614018511,171194
395,1614018685,170224
396,1614018727,170113
397,1614018800,170985
398,1614019395,171876
399,1614019933,170892
400,1614020415,171781
401,1614020668,172689
402,1614021860,171753
403,1614022100,172625
404,1614022566,173555
405,1614023681,174534
406,1614024256,175443
407,1614024435,176378
408,1614024543,177408
409,1614024904,176375
410,1614025170,177264
411,1614026781,178159
412,1614027130,177254
413,1614027978,178254
414,1614028481,179194
415,1614030333,180114
416,1614031226,179186
417,1614031546,180141
418,1614031701,179134
419,1614032254,178142
420,1614033050,177071
421,1614033205,176149
422,1614033265,177113
423,1614033770,178000
424,1614035554,177047
425,1614035874,176109
426,1614036005,175146
427,1614036784,176093
428,1614037136,177123
429,1614038015,178018
430,1614038590,177065
431,1614038766,176157
432,1614038833,175211
433,1614039736,176216
434,1614040310,177215
435,1614040701,178187
436,1614041153,177274
437,1614041787,176356
438,1614042132,177241
439,1614042535,176258
440,1614042887,174933
441,1614043495,173978
442,1614043661,173070
443,1614043801,172153
444,1614043946,173184
445,1614044882,172164
446,1614045379,171110
447,1614045693,172290
448,1614045779,171409
449,1614046341,172401
450,1614046415,171397
451,1614046541,172515
452,1614046724,171620
453,1614047152,170691
454,1614047929,169639
455,1614047990,168550
456,1614048178,167700
457,1614048375,168552
458,1614048511,169440
459,1614048654,168276
460,1614048797,167170
461,1614049033,166327
462,1614049253,167365
463,1614049457,168659
464,1614049503,169717
465,1614049821,170746
466,1614050564,169860
467,1614050727,168638
468,1614051021,169611
469,1614051110,168758
470,1614051213,167861
471,1614051302,166994
472,1614051412,167858
473,1614051521,166714
474,1614051617,167631
475,1614052028,168643
476,1614052226,169509
477,1614052647,168552
478,1614053079,167646
479,1614053529,168522
480,1614053759,169453
481,1614053891,168548
482,1614054276,167702
483,1614054946,166743
484,1614055006,165897
485,1614055006,165028
486,1614055212,163781
487,1614055312,162930
488,1614055396,163964
489,1614055483,163079
490,1614055612,162172
491,1614055720,161257
492,1614055907,160447
493,1614056058,159291
494,1614056076,161968
495,1614056108,162910
496,1614056543,161791
497,1614056543,160889
498,1614056653,159600
499,1614056689,160870
500,1614056735,161874
501,1614056746,160623
502,1614056837,159721
503,1614056918,160945
504,1614056945,159878
505,1614057196,158715
506,1614057282,159609
507,1614057295,158579
508,1614057426,159634
509,1614057486,160606
510,1614057559,159606
511,1614057615,158744
512,1614057707,159814
513,1614057745,158713
514,1614057839,157865
515,1614057969,156887
516,1614058069,155784
517,1614058164,158006
518,1614058329,156638
519,1614058364,159279
520,1614058451,160110
521,1614058575,161251
522,1614059206,162297
523,1614059286,163216
524,1614059477,162298
525,1614059565,163219
526,1614059993,162132
527,1614060054,161103
528,1614060161,160100
529,1614060219,161310
530,1614060563,162500
531,1614060796,163351
532,1614061080,164427
533,1614061109,164865
534,1614061437,164028
535,1614061862,162840
536,1614062261,161879
537,1614062415,160931
538,1614062590,160119
