number,timestamp,value
1,1625731953,216737619063
2,1625731983,216822666962
3,1625732013,216913021393
4,1625732055,217256000000
5,1625732073,217166126643
6,1625732107,217340000000
7,1625732131,217220981998
8,1625732165,217220981998
9,1625732191,217544000000
10,1625732221,217544000000
11,1625732253,217516253027
12,1625732287,217589000000
13,1625732313,217551901558
14,1625732347,217546361169
15,1625732373,217666202546
16,1625732403,217666202546
17,1625732433,217691000000
18,1625732471,217785000000
19,1625732499,217746000000
20,1625732529,217746000000
21,1625732553,217720000000
22,1625732583,217707942775
23,1625732611,217659000000
24,1625732643,217637583091
25,1625732671,217552229796
26,1625732703,217452404172
27,1625732735,217395045509
28,1625732765,217440265928
29,1625732793,217390001128
30,1625732823,217371308145
31,1625732865,217325225643
32,1625732889,217185725643
33,1625732925,217185725643
34,1625732949,217054894693
35,1625732979,217011898073
36,1625733001,217031659638
37,1625733037,217195572497
38,1625733061,217217089331
39,1625733091,217373485790
40,1625733123,217455654515
41,1625733159,217593214618
42,1625733183,217680000000
43,1625733219,217675000000
44,1625733255,217771000000
45,1625733273,217863397674
46,1625733303,217938794919
47,1625733333,217794000000
48,1625733363,217650000000
49,1625733395,217645003804
50,1625733423,217489042703
51,1625733451,217489042703
52,1625733487,217090222260
53,1625733511,217194579851
54,1625733547,217328521472
55,1625733579,217328468088
56,1625733613,217328468088
57,1625733637,217167579851
58,1625733667,217133000000
59,1625733703,217183676320
60,1625733727,217247294150
61,1625733757,217311427141
62,1625733787,217492965342
63,1625733823,217492965342
64,1625733847,217522000000
65,1625733883,217561905367
66,1625733913,217576615528
67,1625733937,217613000000
68,1625733967,217613000000
69,1625733997,217443000000
70,1625734039,217390754133
71,1625734057,217531965443
72,1625734087,217531965443
73,1625734129,217531965443
74,1625734149,217293849613
75,1625734181,217284056201
76,1625734209,217254454202
77,1625734245,217347000000
78,1625734269,217453983774
79,1625734309,217466976001
80,1625734327,217510875490
81,1625734371,217710000000
82,1625734387,217752438952
83,1625734417,217774000000
84,1625734451,218007641539
85,1625734477,218063646433
86,1625734513,218096715500
87,1625734537,218109000000
88,1625734567,218109000000
89,1625734609,218143000000
90,1625734637,218173180602
91,1625734657,218248755195
92,1625734693,218228207688
93,1625734723,218180632212
94,1625734749,218256590119
95,1625734781,218329621389
96,1625734809,218397000000
97,1625734839,218472000000
98,1625734867,218658375578
99,1625734903,218720203803
100,1625734933,218875944664
101,1625734957,218762000000
102,1625734993,218774295896
103,1625735019,218786221944
104,1625735053,218842614218
105,1625735077,219017954843
106,1625735111,219017954843
107,1625735137,219018098003
108,1625735175,219138728395
109,1625735203,219084131772
110,1625735235,218955488504
111,1625735257,218790000000
112,1625735287,218740780731
113,1625735327,218792842932
114,1625735353,218625891047
115,1625735379,218614761949
116,1625735409,218499400988
117,1625735439,218499400988
118,1625735475,218377555239
119,1625735505,218147253367
120,1625735531,217952126683
121,1625735559,217962883107
122,1625735595,217848195368
123,1625735635,217848195368
124,1625735677,217706439398
125,1625735707,217652578249
126,1625735739,217553883322
127,1625735775,217459596257
128,1625735803,217860780262
129,1625735833,217726265046
130,1625735859,217664610662
131,1625735893,217664610662
132,1625735925,217633540183
133,1625735947,217622684559
134,1625735985,217618004423
135,1625736009,217639574319
136,1625736043,217564003925
137,1625736073,217514197261
138,1625736103,217518225207
139,1625736127,217518225207
140,1625736157,217413708290
141,1625736189,217124407130
142,1625736225,217124407130
143,1625736249,217124407130
144,1625736279,217193703563
145,1625736307,217237949844
146,1625736339,217385743355
147,1625736369,217387853053
148,1625736397,217427242607
149,1625736431,217433039795
150,1625736463,217243254701
151,1625736487,217222000000
152,1625736519,217337794094
153,1625736547,217373724202
154,1625736611,217485942262
155,1625736659,217442303328
156,1625736701,217569000000
157,1625736767,217557836560
158,1625736797,217709341073
159,1625736821,217711000000
160,1625736851,217799892637
161,1625736881,217957000000
162,1625736911,218184000000
163,1625736941,218184000000
164,1625736975,218314139994
165,1625736999,218337585700
166,1625737035,218309199368
167,1625737057,218218938677
168,1625737089,218249005658
169,1625737117,218247059431
170,1625737155,218262723065
171,1625737177,218247047387
172,1625737213,218262000000
173,1625737239,218247047387
174,1625737275,218247047387
175,1625737299,218204221165
176,1625737329,218008460919
177,1625737359,218068153001
178,1625737395,218068453158
179,1625737421,218113264900
180,1625737449,218057315929
181,1625737483,217897130747
182,1625737509,217825366528
183,1625737537,217801108565
184,1625737569,217508538844
185,1625737601,217752077689
186,1625737627,217517321803
187,1625737659,217611123976
188,1625737687,217716714169
189,1625737725,217879556049
190,1625737747,217945040313
191,1625737779,217945040313
192,1625737815,217966009224
193,1625737839,217980440174
194,1625737869,217980440174
195,1625737899,217959848476
196,1625737929,217821749999
197,1625737961,217878962558
198,1625737997,217849323593
199,1625738019,217692632120
200,1625738049,217759273240
201,1625738089,217692632120
202,1625738111,217665854199
203,1625738145,217675137202
204,1625738169,217545603893
205,1625738199,217500432729
206,1625738235,217342380409
207,1625738261,217342380409
208,1625738287,217224980593
209,1625738317,217263917471
210,1625738353,217257416570
211,1625738379,217358846730
212,1625738415,217326007214
213,1625738439,217326007214
214,1625738469,217044000000
215,1625738499,217050000000
216,1625738535,216947679670
217,1625738565,217030000000
218,1625738587,217061000000
219,1625738625,217162413853
220,1625738649,217192247329
221,1625738683,217436931023
222,1625738709,217524356328
223,1625738737,217549475784
224,1625738769,217578665087
225,1625738799,217591962625
226,1625738839,217646032452
227,1625738859,217703266498
228,1625738893,217679505606
229,1625738923,217503526558
230,1625738955,217503526558
231,1625738979,217503526558
232,1625739013,216973534171
233,1625739039,217128662602
234,1625739069,216901766050
235,1625739103,217014958071
236,1625739129,217172836000
237,1625739165,217173378581
238,1625739189,217275452648
239,1625739217,217321556539
240,1625739249,217432465576
241,1625739277,217458137766
242,1625739307,217458137766
243,1625739337,217458137766
244,1625739371,217435731201
245,1625739399,217418850517
246,1625739429,217400000000
247,1625739463,217340000000
248,1625739495,217280058173
249,1625739519,217207077141
250,1625739549,217257000000
251,1625739581,217314986135
252,1625739607,217519000000
253,1625739639,217564892762
254,1625739673,217663838147
255,1625739697,217620003705
256,1625739735,217531397462
257,1625739759,217592784920
258,1625739795,217614105240
259,1625739825,217614105240
260,1625739849,217528865557
261,1625739885,217606817715
262,1625739915,217581034748
263,1625739939,217684769874
264,1625739969,217721762705
265,1625740003,217834205342
266,1625740047,217877921673
267,1625740088,217787542608
268,1625740118,217832640733
269,1625740154,217893815961
270,1625740178,217997000000
271,1625740208,218026178175
272,1625740238,218026025091
273,1625740268,217843000000
274,1625740308,217909000000
275,1625740368,217900858971
276,1625740398,217791481749
277,1625740422,217769317991
278,1625740452,217711755886
279,1625740482,217748916799
280,1625740518,217764445611
281,1625740548,217781112409
282,1625740572,217781112409
283,1625740608,217920447464
284,1625740632,217950000000
285,1625740668,217949014697
286,1625740694,217876496755
287,1625740718,217876496755
288,1625740764,217801114626
289,1625740808,217988728102
290,1625740844,218074821403
291,1625740874,218052048693
292,1625740898,218126383930
293,1625740938,218082843427
294,1625740958,218071953245
295,1625740994,218000000000
296,1625741018,217941344178
297,1625741062,217940000000
298,1625741090,217881642489
299,1625741122,217881642489
300,1625741142,217881642489
301,1625741170,217760000000
302,1625741200,217747615658
303,1625741228,217747615658
304,1625741342,217750000000
305,1625741402,217549347502
306,1625741442,217399000000
307,1625741470,217322928076
308,1625741498,217322928076
309,1625741542,217322928076
310,1625741566,217272300614
311,1625741590,217074993174
312,1625741630,217085636957
313,1625741648,217085636957
314,1625741684,217048166533
315,1625741720,217002981232
316,1625741756,217041967807
317,1625741804,217016360466
318,1625741828,216932607817
319,1625741858,216895204050
320,1625741890,216655268957
321,1625741926,216622697284
322,1625741950,216693048805
323,1625741978,216693048805
324,1625742010,216673361113
325,1625742038,216418786912
326,1625742074,216413627461
327,1625742112,215443552599
328,1625742134,214653208888
329,1625742180,214653208888
330,1625742222,214563010606
331,1625742248,214405695417
332,1625742280,214289593068
333,1625742310,213478918039
334,1625742338,213560296534
335,1625742378,213728035701
336,1625742418,213922012544
337,1625742474,214036128099
338,1625742518,214221215618
339,1625742554,214348261556
340,1625742578,214314730562
341,1625742614,214136685970
342,1625742644,214051800383
343,1625742668,214062679860
344,1625742700,214094890009
345,1625742728,214093350853
346,1625742758,213941044717
347,1625742794,213978687168
348,1625742820,213868780369
349,1625742848,213868780369
350,1625742878,213699646817
351,1625742910,213550859244
352,1625742946,213571408885
353,1625742970,213708632084
354,1625742998,213819647995
355,1625743030,214015391254
356,1625743062,214052753746
357,1625743090,214182581954
358,1625743130,214204000000
359,1625743156,214160866358
360,1625743192,214072000000
361,1625743208,214072000000
362,1625743238,213858395578
363,1625743270,213848533647
364,1625743298,213940000000
365,1625743330,213999034665
366,1625743364,213926000000
367,1625743390,213874352224
368,1625743450,213929975484
369,1625743490,214014739294
370,1625743514,214088000000
371,1625743538,214113363963
372,1625743590,214447686047
373,1625743630,214660804114
374,1625743666,214652000000
375,1625743690,214652000000
376,1625743718,214600249596
377,1625743754,214635421631
378,1625743778,214629686486
379,1625743812,214589626505
380,1625743850,214587499563
381,1625743868,214599743018
382,1625743906,214645876986
383,1625743928,214867161268
384,1625743962,214753735200
385,1625743990,214804407551
386,1625744018,214859000000
387,1625744050,214838727456
388,1625744086,214838727456
389,1625744114,214915234674
390,1625744138,214965558680
391,1625744170,215026000000
392,1625744212,215002879733
393,1625744228,214970000000
394,1625744258,214950000000
395,1625744290,215002879733
396,1625744326,215149537677
397,1625744348,215305528731
398,1625744380,215327117262
399,1625744414,215331946038
400,1625744458,215281853332
401,1625744498,215382000000
402,1625744534,215547105530
403,1625744558,215614471282
404,1625744590,215656078665
405,1625744630,215693490698
406,1625744650,215651638950
407,1625744678,215562913378
408,1625744750,215671218819
409,1625744786,215725800040
410,1625744816,215715538342
411,1625744846,215618904958
412,1625744876,215601948403
413,1625744906,215399306303
414,1625744930,215394545006
415,1625744960,215394545006
416,1625744996,215351721127
417,1625745020,215347483038
418,1625745062,215342569589
419,1625745450,215654112450
420,1625745486,215669235474
421,1625745512,215669235474
422,1625745542,215669235474
423,1625745582,215897338487
424,1625745602,216262346271
425,1625745706,216263812072
426,1625745744,216309924753
427,1625745778,216309924753
428,1625745798,216038738895
429,1625745822,216038738895
430,1625745854,216038738895
431,1625745910,215996228020
432,1625745942,215637975940
433,1625745986,215566613950
434,1625746018,215769094436
435,1625746038,215694503660
436,1625746062,215786615248
437,1625746106,215780438250
438,1625746122,215725972085
439,1625746162,215678705884
440,1625746190,215668891391
441,1625746226,215633164701
442,1625746250,215633164701
443,1625746274,215338218601
444,1625746310,215200335326
445,1625746334,215272367647
446,1625746370,215240931127
447,1625746394,215140303750
448,1625746430,215149103489
449,1625746460,215155844953
450,1625746484,215147648631
451,1625746514,215071824315
452,1625746550,215264291806
453,1625746594,215315802622
454,1625746642,215477099170
455,1625746670,215535000000
456,1625746698,215625713974
457,1625746726,215530000000
458,1625746754,215588705759
459,1625746786,215588705759
460,1625746820,215617481620
461,1625746844,215727048356
462,1625746884,215818472922
463,1625746904,215818472922
464,1625746940,215818472922
465,1625746962,215866000000
466,1625746998,215901937960
467,1625747030,215828000000
468,1625747054,215953639058
469,1625747090,215843635652
470,1625747126,215812118300
471,1625747154,215812118300
472,1625747174,215703335764
473,1625747212,215665795533
474,1625747240,215600833297
475,1625747262,215600833297
476,1625747294,215602927941
477,1625747330,215633376217
478,1625747360,215639689566
479,1625747390,215672199023
480,1625747420,215795078805
481,1625747454,215906097252
482,1625747482,216040457957
483,1625747510,216040457957
484,1625747538,216362734845
485,1625747562,216508000000
486,1625747594,216656385376
487,1625747622,216719817172
488,1625747662,217417000000
489,1625747702,217441150945
490,1625747756,217291000000
491,1625747780,217389935318
492,1625747806,217389935318
493,1625747840,217389935318
494,1625747870,217337012548
495,1625747894,217354559091
496,1625747936,217337012548
497,1625747954,217351000000
498,1625747998,217337012548
499,1625748014,217359243271
500,1625748056,217504000000
501,1625748080,217516831109
502,1625748112,217482807794
503,1625748154,217467807384
504,1625748198,217337539770
505,1625748222,217354611952
506,1625748254,217337539770
507,1625748290,217332168409
508,1625748326,217330622246
509,1625748342,217317808114
510,1625748378,217301661742
511,1625748404,217105341491
512,1625748434,217084815545
513,1625748464,216943192937
514,1625748496,216806488982
515,1625748526,216783076513
516,1625748554,216620831426
517,1625748586,216640842681
518,1625748614,216633677133
519,1625748642,216677813975
520,1625748682,216575379826
521,1625748710,216525876038
522,1625748786,216383466019
523,1625748810,216383466019
524,1625748838,216269000000
525,1625748870,216091872000
526,1625748902,216091872000
527,1625748930,216117641602
528,1625748954,216154023804
529,1625748994,216172683479
530,1625749018,216453788743
531,1625749054,216294372431
532,1625749086,216260224052
533,1625749102,216205508252
534,1625749132,216176504435
535,1625749162,216138652422
536,1625749192,216066610019
537,1625749222,216124802050
538,1625749254,216137604314
539,1625749282,216090766774
540,1625749312,216069096557
541,1625749350,216075225804
542,1625749378,215996803735
543,1625749402,215922817994
544,1625749438,215922817994
545,1625749474,215756253347
546,1625749494,215429000601
547,1625749530,215330538199
548,1625749558,215429000000
549,1625749582,215498726137
550,1625749618,215588572103
551,1625749646,215522897576
552,1625749682,215446755169
553,1625749708,215511135846
554,1625749732,215532830193
555,1625749768,215540277276
556,1625749798,215534892052
557,1625749838,215565717706
558,1625749888,215729000000
559,1625749912,215730641659
560,1625749950,215815371433
561,1625750034,215820000000
562,1625750062,215826481747
563,1625750098,215897937618
564,1625750122,215938916287
565,1625750154,215944580785
566,1625750182,215954648846
567,1625750214,215997788992
568,1625750242,215989602851
569,1625750272,215928871994
570,1625750308,215879561743
571,1625750338,215699993815
572,1625750374,215500942042
573,1625750394,215485708793
574,1625750422,215336959233
575,1625750454,215245950070
576,1625750482,215226183531
577,1625750514,215121338273
578,1625750550,215059248746
579,1625750574,215049079850
580,1625750606,214920786761
581,1625750644,214920786761
582,1625750664,214958869452
583,1625750692,215040000000
584,1625750722,215043010904
585,1625750758,215109126992
586,1625750790,215063217106
587,1625750822,215063217106
588,1625750842,215028215887
589,1625750874,215108854054
590,1625750910,215258000000
591,1625750946,215389000000
592,1625750974,215345473709
593,1625751010,215340514756
594,1625751062,215247884991
595,1625751094,215247884991
596,1625751114,215354353188
597,1625751150,215276000000
598,1625751178,215199208533
599,1625751202,215329032718
600,1625751246,215201735461
601,1625751264,214566191615
602,1625751296,214380268277
603,1625751322,214484829207
604,1625751354,214643000000
605,1625751386,214588545388
606,1625751412,214610370366
607,1625751454,214603344621
608,1625751472,214592168009
609,1625751508,214280574839
610,1625751538,214146904214
611,1625751570,214135933484
612,1625751594,214135933484
613,1625751626,213898050412
614,1625751654,213979350798
615,1625751690,213986265701
616,1625751714,214045011317
617,1625751742,214045011317
618,1625751778,214177000000
619,1625751804,214143145844
620,1625751838,214196067145
621,1625751876,214062000000
622,1625751898,214005409344
623,1625751932,213838855360
624,1625751964,213504262525
625,1625751982,213504262525
626,1625752018,213567832845
627,1625752042,213500742757
628,1625752078,213500742757
629,1625752102,213609125640
630,1625752138,213799269517
631,1625752162,213854000000
632,1625752194,213810216159
633,1625752222,213810216159
634,1625752254,213804383719
635,1625752282,213825036662
636,1625752318,213902000000
637,1625752348,213973317907
638,1625752372,213988212930
639,1625752402,213997243351
640,1625752432,213910000000
641,1625752462,213910000000
642,1625752498,213910000000
643,1625752522,213882485900
644,1625752560,213976083550
645,1625752582,213955296821
646,1625752620,213933849376
647,1625752648,213932000000
648,1625752678,213974962957
649,1625752710,213905428867
650,1625752738,213904789886
651,1625752770,213929198749
652,1625752798,213954845010
653,1625752822,213767420600
654,1625752854,213883191279
655,1625752890,213925257007
656,1625752918,214051882969
657,1625752954,214061000000
658,1625752974,214113619889
659,1625753002,214243666064
660,1625753032,214258088505
661,1625753064,214239779008
662,1625753092,214273019456
663,1625753124,214446581840
664,1625753158,214686221619
665,1625753182,214807000000
666,1625753220,214822444765
667,1625753258,214930000000
668,1625753302,214849000000
669,1625753338,214850007023
670,1625753374,214838503511
671,1625753394,214827000000
672,1625753422,214702195555
673,1625753454,214702195555
674,1625753482,214501717988
675,1625753514,214501717988
676,1625753550,214513601607
677,1625753572,214469237306
678,1625753608,214414265494
679,1625753634,214407086196
680,1625753682,214434772896
681,1625753734,214580240670
682,1625753758,214621300683
683,1625753790,214781149597
684,1625753814,214858010778
685,1625753842,214858010778
686,1625753874,214910954788
687,1625753902,214910954788
688,1625753934,214900000000
689,1625753970,214884447164
690,1625753994,214882000000
691,1625754022,214869107670
692,1625754062,214819820610
693,1625754082,214721910305
694,1625754126,214660761656
695,1625754150,214435187730
696,1625754172,214375037041
697,1625754202,214319391779
698,1625754238,214319391779
699,1625754268,214063608112
700,1625754296,214013372520
701,1625754328,213976719682
702,1625754354,213998884204
703,1625754388,214137000000
704,1625754414,214152392526
705,1625754442,214170000000
706,1625754474,214129000000
707,1625754502,214182017858
708,1625754534,214182017858
709,1625754562,214262000000
710,1625754598,214412386049
711,1625754630,214522000000
712,1625754658,214685848265
713,1625754689,214741750177
714,1625754715,214655674795
715,1625754757,214685718746
716,1625754777,214685718746
717,1625754809,214689880100
718,1625754839,214689880100
719,1625754863,214683952197
720,1625754893,214683952197
721,1625754929,214680354025
722,1625754953,214731910905
723,1625754981,214742575406
724,1625755013,214815112282
725,1625755049,214815374108
726,1625755073,214815374108
727,1625755101,214814850457
728,1625755133,214792062088
729,1625755165,214709379112
730,1625755195,214690055897
731,1625755231,214702187054
732,1625755253,214693236984
733,1625755311,214712597615
734,1625755333,214695068869
735,1625755373,214716673315
736,1625755403,214719482237
737,1625755447,214856306317
738,1625755467,214913456414
739,1625755495,214969109170
740,1625755523,215010000000
741,1625755555,214980790356
742,1625755607,214913456414
743,1625755643,214884028997
744,1625755679,214771701832
745,1625755715,214605859614
746,1625755733,214605859614
747,1625755765,214617808116
748,1625755805,214617808116
749,1625755831,214596163676
750,1625755861,214596163676
751,1625755895,214650000000
752,1625755913,214669000000
753,1625755949,214763655864
754,1625755979,214794309198
755,1625756003,214884122955
756,1625756039,214921000000
757,1625756063,215125221528
758,1625756099,215217606029
759,1625756135,215411232757
760,1625756159,215411232757
761,1625756183,215350752624
762,1625756211,215295083497
763,1625756251,215313408745
764,1625756271,215299554103
765,1625756315,215392000000
766,1625756331,215400000000
767,1625756377,215438366149
768,1625756393,215451544466
769,1625756423,215451544466
770,1625756459,215458000000
771,1625756483,215384210313
772,1625756513,215449146360
773,1625756549,215304324354
774,1625756573,215213364480
775,1625756605,215204000000
776,1625756645,215195867904
777,1625756663,215224946737
778,1625756707,215269000000
779,1625756723,215368391014
780,1625756767,215448412969
781,1625756783,215453693210
782,1625756835,215550300398
783,1625756927,215713982790
784,1625756999,215904296558
785,1625757041,215904296558
786,1625757099,215869233935
787,1625757143,215920789297
788,1625757179,215932610232
789,1625757203,215971943652
790,1625757238,215921192575
791,1625757262,215971943652
792,1625757292,215972217759
793,1625757328,215972217759
794,1625757360,216044013263
795,1625757396,216064138772
796,1625757412,216070328026
797,1625757448,216064138772
798,1625757472,216077961402
799,1625757504,216145741733
800,1625757532,216110698641
801,1625757570,216197590796
802,1625757600,216197590796
803,1625757624,216197590796
804,1625757660,216197590796
805,1625757684,216206695976
806,1625757726,216257069359
807,1625757742,216270867137
808,1625757774,216264291798
809,1625757812,216290009340
810,1625757838,216331555632
811,1625757864,216385000000
812,1625757892,216865000000
813,1625757924,216865000000
814,1625757980,217011000000
815,1625758024,217085148685
816,1625758052,217085148685
817,1625758072,216965966536
818,1625758104,216823024018
819,1625758140,216799257091
820,1625758164,216809308825
821,1625758200,216853555864
822,1625758224,216838369120
823,1625758254,216798491635
824,1625758290,216777000000
825,1625758318,216750000000
826,1625758350,216588831331
827,1625758384,216342755872
828,1625758404,216252811000
829,1625758440,216265141972
830,1625758484,216336049101
831,1625758536,216312000000
832,1625758556,216311281616
833,1625758600,216280982456
834,1625758648,216428138581
835,1625758680,216429997225
836,1625758712,216499953681
837,1625758732,216532034303
838,1625758770,216679769535
839,1625758798,216749000000
840,1625758824,216872000000
841,1625758860,216849927412
842,1625758884,216749000000
843,1625758916,216712856549
844,1625758944,216711653241
845,1625758980,216732874153
846,1625759014,216711810091
847,1625759034,216698967326
848,1625759070,216610531604
849,1625759094,216580233260
850,1625759124,216618000000
851,1625759180,216631415033
852,1625759216,216777949368
853,1625759248,216684297532
854,1625759280,216684297532
855,1625759304,216684297532
856,1625759340,216655670451
857,1625759364,216735000000
858,1625759394,216779000000
859,1625759422,216815898255
860,1625759460,217026666418
861,1625759484,217203743002
862,1625759528,217204209927
863,1625759560,217188297401
864,1625759604,216972439537
865,1625759640,216984000000
866,1625759664,216987391934
867,1625759696,216969860778
868,1625759736,216983000000
869,1625759756,216983000000
870,1625759788,216983000000
871,1625759812,217014655614
872,1625759848,217180000000
873,1625759892,217228935071
874,1625759940,217372000000
875,1625759968,217370000000
876,1625759992,217330000000
877,1625760040,217304145029
878,1625760090,217183000000
879,1625760120,217104465395
880,1625760144,217042730138
881,1625760178,217443157318
882,1625760212,217643232915
883,1625760246,217643232915
884,1625760266,217498000000
885,1625760300,217400000000
886,1625760324,217410000000
887,1625760352,217360000000
888,1625760396,216991404812
889,1625760412,216930344336
890,1625760448,216736068478
891,1625760492,216640568478
892,1625760548,216335981448
893,1625760570,216335981448
894,1625760600,216308774719
895,1625760630,216356228781
896,1625760654,216356228781
897,1625760690,216313543094
898,1625760714,216313543094
899,1625760750,216158338090
900,1625760776,216113450734
901,1625760804,216098997178
902,1625760849,215964669926
903,1625760893,215921522227
904,1625760929,215949104959
905,1625760953,215900204855
906,1625760989,215867636999
907,1625761013,215821666322
908,1625761045,215849392549
909,1625761073,215849392549
910,1625761109,215683202645
911,1625761133,215589900868
912,1625761181,215534410048
913,1625761227,215465494197
914,1625761259,215513580437
915,1625761283,215494338609
916,1625761313,215597002944
917,1625761343,215597002944
918,1625761379,215618303072
919,1625761403,215634518544
920,1625761433,215631900357
921,1625761469,215764518077
922,1625761493,215764518077
923,1625761529,215794696065
924,1625761557,215794696065
925,1625761589,215850958836
926,1625761613,215831386556
927,1625761649,215880986915
928,1625761673,215917000000
929,1625761701,215985000000
930,1625761741,215913310429
931,1625761777,215881000000
932,1625761793,215857993925
933,1625761823,215869480565
934,1625761869,215907888715
935,1625761921,216027396651
936,1625761943,216103532734
937,1625761979,216117628068
938,1625762003,216117628068
939,1625762045,216121329130
940,1625762065,216190701261
941,1625762093,216190701261
942,1625762125,216176830448
943,1625762153,216212000000
944,1625762185,216221062861
945,1625762213,216212000000
946,1625762261,216229306836
947,1625762313,216277492316
948,1625762341,216311513041
949,1625762363,216224119566
950,1625762399,216022006313
951,1625762425,215781415180
952,1625762477,215682275507
953,1625762525,215621726502
954,1625762545,215653335976
955,1625762573,215549053482
956,1625762601,215464531557
957,1625762633,215464531557
958,1625762669,215386024389
959,1625762697,215386009483
960,1625762725,215242930313
961,1625762753,215190465156
962,1625762789,215044133396
963,1625762833,215095414938
964,1625762885,215273000000
965,1625762905,215322804741
966,1625762933,215387667600
967,1625762963,215530274629
968,1625762993,215611411097
969,1625763023,215699250335
970,1625763059,215728037235
971,1625763089,215783506948
972,1625763115,215852534621
973,1625763143,215868000000
974,1625763173,215928683265
975,1625763205,215875062551
976,1625763237,215863899295
977,1625763261,215854473627
978,1625763293,215803000000
979,1625763329,215814393604
980,1625763353,215828406556
981,1625763389,215995000000
982,1625763417,216080652982
983,1625763441,216100202071
984,1625763473,216168000000
